Campaign ID,Impressions,Clicks,Conversions,Spend,Revenue,Status
CAMP_080,2016,708,20,2173.27,3549.05,Active
CAMP_081,90789,2170,47,3722.77,9568.01,Paused
CAMP_082,56591,4107,19,1261.79,6767.7,Active
CAMP_083,90812,4747,7,929.83,4825.21,Paused
CAMP_084,24247,864,6,413.56,4930.26,Active
CAMP_085,25300,3484,66,2147.29,2147.29,Active
CAMP_086,75065,1717,16,3445.61,3445.61,Active
CAMP_087,83798,2787,32,300.39,6024.41,Active
CAMP_088,10268,1743,47,4576.92,5537.03,Active
CAMP_089,87807,4941,75,2217.34,2217.34,Paused
CAMP_090,13185,3520,58,1206.54,9461.95,Active
CAMP_091,64704,212,85,478.43,7812.96,Active
CAMP_092,87779,3265,21,922.5,1134.65,Active
CAMP_093,40099,4228,29,4673.72,9309.29,Paused
CAMP_094,9571,4506,37,3194.97,9742.48,Active
CAMP_095,39044,776,50,2588.31,9959.31,Active
CAMP_096,52214,4399,53,3288.99,3288.99,Active
CAMP_097,62228,2337,7,2184.01,7370.36,Active
CAMP_098,49984,2941,26,3652.9,5459.16,Active
CAMP_099,41774,207,26,248.1,7058.31,Active
CAMP_100,3568,1940,97,2834.53,9686.52,Active
